Counter,First Element,Last Element,Time Elapsed,Queue Size
100,3001,3100,0.009426,0
200,3101,3200,0.0125499,0
300,3201,3300,0.0126521,0
400,3301,3400,0.0125979,0
500,3401,3500,0.0127332,0
600,3501,3600,0.0125508,0
700,3601,3700,0.0126363,0
800,3701,3800,0.0126685,0
900,3801,3900,0.0125578,0
1000,3901,4000,0.0125947,0
1100,4001,4100,0.0127069,0
1200,4101,4200,0.0126885,0
1300,4201,4300,0.0125532,0
1400,4301,4400,0.0125683,0
1500,4401,4500,0.0126414,0
1600,4501,4600,0.0125699,0
1700,4601,4700,0.0127635,0
1800,4701,4800,0.0125043,0
1900,4801,4900,0.0129922,0
2000,4901,5000,0.0122319,0
2100,5001,5100,0.0127514,0
2200,5101,5200,0.0126389,0
2300,5201,5300,0.0125019,0
2400,5301,5400,0.012579,0
2500,5401,5500,0.0127045,0
2600,5501,5600,0.0125681,0
2700,5601,5700,0.0126683,0
2800,5701,5800,0.0125398,0
2900,5801,5900,0.0126933,0
3000,5901,6000,0.0126373,0
3100,6001,6100,0.0126,0
3200,6101,6200,0.012645,0
3300,6201,6300,0.0126394,0
3400,6301,6400,0.0126934,0
3500,6401,6500,0.0125464,0
3600,6501,6600,0.0126185,0
3700,6601,6700,0.0126054,0
3800,6701,6800,0.0126571,0
3900,6801,6900,0.0125772,0
4000,6901,7000,0.0125976,0
4100,7001,7100,0.0126992,0
4200,7101,7200,0.0126052,0
4300,7201,7300,0.0127235,0
4400,7301,7400,0.0126217,0
4500,7401,7500,0.0124606,0
4600,7501,7600,0.0126988,0
4700,7601,7700,0.0126216,0
4800,7701,7800,0.012611,0
4900,7801,7900,0.0125944,0
5000,7901,8000,0.0126452,0
5100,8001,8100,0.0127787,0
5200,8101,8200,0.0125628,0
5300,8201,8300,0.0125016,0
5400,8301,8400,0.0128071,0
5500,8401,8500,0.01245,0
5600,8501,8600,0.0126422,0
5700,8601,8700,0.0126616,0
5800,8701,8800,0.0126213,0
5900,8801,8900,0.0126733,0
6000,8901,9000,0.0126328,0
6100,9001,9100,0.0125878,0
6200,9101,9200,0.0126183,0
6300,9201,9300,0.012575,0
6400,9301,9400,0.0126547,0
6500,9401,9500,0.0126018,0
6600,9501,9600,0.0125996,0
6700,9601,9700,0.0126766,0
6800,9701,9800,0.0126548,0
6900,9801,9900,0.0125596,0
7000,9901,10000,0.0126557,0
7100,10001,10100,0.0125566,0
7200,10101,10200,0.0126443,0
7300,10201,10300,0.0126822,0
7400,10301,10400,0.0126019,0
7500,10401,10500,0.0127409,0
7600,10501,10600,0.0125447,0
7700,10601,10700,0.0126123,0
7800,10701,10800,0.0126399,0
7900,10801,10900,0.0125905,0
8000,10901,11000,0.0127336,0
8100,11001,11100,0.0126935,0
8200,11101,11200,0.012391,0
8300,11201,11300,0.012696,0
8400,11301,11400,0.0127639,0
8500,11401,11500,0.012516,0
8600,11501,11600,0.0124977,0
8700,11601,11700,0.0127905,0
8800,11701,11800,0.0125524,0
8900,11801,11900,0.0126117,0
9000,11901,12000,0.0125472,0
9100,12001,12100,0.0126708,0
9200,12101,12200,0.0127647,0
9300,12201,12300,0.012544,0
9400,12301,12400,0.0126223,0
9500,12401,12500,0.0126263,0
9600,12501,12600,0.0125971,0
9700,12601,12700,0.0127231,0
9800,12701,12800,0.0124303,0
9900,12801,12900,0.0126956,0
10000,12901,13000,0.0126971,0
10100,13001,13100,0.0125846,0
10200,13101,13200,0.0126155,0
10300,13201,13300,0.0125694,0
10400,13301,13400,0.0126595,0
10500,13401,13500,0.0127333,0
10600,13501,13600,0.0125903,0
10700,13601,13700,0.0125879,0
10800,13701,13800,0.0126165,0
10900,13801,13900,0.0125763,0
11000,13901,14000,0.0127203,0
11100,14001,14100,0.0125516,0
11200,14101,14200,0.0126534,0
11300,14201,14300,0.0127673,0
11400,14301,14400,0.012923,0
11500,14401,14500,0.012121,0
11600,14501,14600,0.0128318,0
11700,14601,14700,0.0125459,0
11800,14701,14800,0.0127293,0
11900,14801,14900,0.0124213,0
12000,14901,15000,0.0126218,0
12100,15001,15100,0.0128133,0
12200,15101,15200,0.0124755,0
12300,15201,15300,0.0125835,0
12400,15301,15400,0.0127539,0
12500,15401,15500,0.0125247,0
12600,15501,15600,0.0126675,0
12700,15601,15700,0.0124836,0
12800,15701,15800,0.0127837,0
12900,15801,15900,0.0125012,0
13000,15901,16000,0.0126876,0
13100,16001,16100,0.0125891,0
13200,16101,16200,0.0127463,0
13300,16201,16300,0.0125397,0
13400,16301,16400,0.0126709,0
13500,16401,16500,0.0124548,0
13600,16501,16600,0.0128565,0
13700,16601,16700,0.012519,0
13800,16701,16800,0.0126281,0
13900,16801,16900,0.0128074,0
14000,16901,17000,0.0124813,0
14100,17001,17100,0.0125519,0
14200,17101,17200,0.0127156,0
14300,17201,17300,0.0125747,0
14400,17301,17400,0.0126918,0
14500,17401,17500,0.0125472,0
14600,17501,17600,0.0127221,0
14700,17601,17700,0.0126641,0
14800,17701,17800,0.012525,0
14900,17801,17900,0.0126617,0
15000,17901,18000,0.0125761,0
15100,18001,18100,0.0125651,0
15200,18101,18200,0.0126157,0
15300,18201,18300,0.0127636,0
15400,18301,18400,0.0125997,0
15500,18401,18500,0.0125353,0
15600,18501,18600,0.012609,0
15700,18601,18700,0.0127179,0
15800,18701,18800,0.0126067,0
15900,18801,18900,0.0125797,0
16000,18901,19000,0.0125173,0
16100,19001,19100,0.0128292,0
16200,19101,19200,0.0125952,0
16300,19201,19300,0.0125715,0
16400,19301,19400,0.0126064,0
16500,19401,19500,0.0127267,0
16600,19501,19600,0.0125449,0
16700,19601,19700,0.0125966,0
16800,19701,19800,0.0125319,0
16900,19801,19900,0.0128245,0
17000,19901,20000,0.0125232,0
17100,20001,20100,0.0126296,0
17200,20101,20200,0.0126807,0
17300,20201,20300,0.0125641,0
17400,20301,20400,0.0126886,0
17500,20401,20500,0.0126556,0
17600,20501,20600,0.0125089,0
17700,20601,20700,0.0126284,0
17800,20701,20800,0.0127211,0
17900,20801,20900,0.0126829,0
18000,20901,21000,0.0125159,0
18100,21001,21100,0.0125762,0
18200,21101,21200,0.0126909,0
18300,21201,21300,0.0126808,0
18400,21301,21400,0.0125057,0
18500,21401,21500,0.0125802,0
18600,21501,21600,0.0126413,0
18700,21601,21700,0.0127452,0
18800,21701,21800,0.0125437,0
18900,21801,21900,0.0126055,0
19000,21901,22000,0.0127544,0
19100,22001,22100,0.0125097,0
19200,22101,22200,0.0126405,0
19300,22201,22300,0.0126879,0
19400,22301,22400,0.0126815,0
19500,22401,22500,0.0124655,0
19600,22501,22600,0.012665,0
19700,22601,22700,0.0125373,0
19800,22701,22800,0.012862,0
19900,22801,22900,0.0124036,0
20000,22901,23000,0.0126875,0
20100,23001,23100,0.0125513,0
20200,23101,23200,0.0126999,0
20300,23201,23300,0.0125673,0
20400,23301,23400,0.0127643,0
20500,23401,23500,0.0125328,0
20600,23501,23600,0.012703,0
20700,23601,23700,0.0125703,0
20800,23701,23800,0.0125674,0
20900,23801,23900,0.0128261,0
21000,23901,24000,0.0124335,0
21100,24001,24100,0.0126646,0
21200,24101,24200,0.0125868,0
21300,24201,24300,0.0127017,0
21400,24301,24400,0.0126046,0
21500,24401,24500,0.0125916,0
21600,24501,24600,0.0127889,0
21700,24601,24700,0.0124809,0
21800,24701,24800,0.0126755,0
21900,24801,24900,0.0126098,0
22000,24901,25000,0.0126412,0
22100,25001,25100,0.0125236,0
22200,25101,25200,0.0126204,0
22300,25201,25300,0.01265,0
22400,25301,25400,0.012743,0
22500,25401,25500,0.0125253,0
22600,25501,25600,0.0125836,0
22700,25601,25700,0.0127247,0
22800,25701,25800,0.0125438,0
22900,25801,25900,0.0126627,0
23000,25901,26000,0.0126958,0
23100,26001,26100,0.0125193,0
23200,26101,26200,0.0126336,0
23300,26201,26300,0.0126574,0
23400,26301,26400,0.012497,0
23500,26401,26500,0.0127274,0
23600,26501,26600,0.0126187,0
23700,26601,26700,0.0126381,0
23800,26701,26800,0.0125459,0
23900,26801,26900,0.0127792,0
24000,26901,27000,0.0125432,0
24100,27001,27100,0.0126574,0
