Counter,First Element,Last Element,Time Elapsed,Queue Size
200,3001,3200,0.003779,0
400,3201,3400,0.0082163,0
600,3401,3600,0.0082012,0
800,3601,3800,0.008497,0
1000,3801,4000,0.0081339,0
1200,4001,4200,0.0084565,0
1400,4201,4400,0.0084027,0
1600,4401,4600,0.0084217,0
1800,4601,4800,0.0084805,0
2000,4801,5000,0.0084267,0
2200,5001,5200,0.0084463,0
2400,5201,5400,0.0084034,0
2600,5401,5600,0.0085214,0
2800,5601,5800,0.0084159,0
3000,5801,6000,0.00876,0
3200,6001,6200,0.0081554,0
3400,6201,6400,0.0082941,0
3600,6401,6600,0.0085314,0
3800,6601,6800,0.0081459,0
4000,6801,7000,0.0085224,0
4200,7001,7200,0.0083968,0
4400,7201,7400,0.0083778,0
4600,7401,7600,0.008528,0
4800,7601,7800,0.0084155,0
5000,7801,8000,0.0084061,0
5200,8001,8200,0.0084611,0
5400,8201,8400,0.0084004,0
5600,8401,8600,0.008336,0
5800,8601,8800,0.0083795,0
6000,8801,9000,0.0085289,0
6200,9001,9200,0.0083336,0
6400,9201,9400,0.0087137,0
6600,9401,9600,0.0082727,0
6800,9601,9800,0.0083585,0
7000,9801,10000,0.0086003,0
7200,10001,10200,0.0082636,0
7400,10201,10400,0.0083573,0
7600,10401,10600,0.0086168,0
7800,10601,10800,0.0083905,0
8000,10801,11000,0.0084893,0
8200,11001,11200,0.0083724,0
8400,11201,11400,0.0083469,0
8600,11401,11600,0.0082107,0
8800,11601,11800,0.0082189,0
9000,11801,12000,0.0082754,0
9200,12001,12200,0.0084368,0
9400,12201,12400,0.0082852,0
9600,12401,12600,0.0083793,0
9800,12601,12800,0.0082375,0
10000,12801,13000,0.0082293,0
10200,13001,13200,0.0084316,0
10400,13201,13400,0.0083468,0
10600,13401,13600,0.0081715,0
10800,13601,13800,0.0084925,0
11000,13801,14000,0.0084468,0
11200,14001,14200,0.0082936,0
11400,14201,14400,0.0084323,0
11600,14401,14600,0.0084785,0
11800,14601,14800,0.0084165,0
12000,14801,15000,0.0083588,0
12200,15001,15200,0.0084707,0
12400,15201,15400,0.0083734,0
12600,15401,15600,0.0082897,0
12800,15601,15800,0.0085481,0
13000,15801,16000,0.0082955,0
13200,16001,16200,0.0083857,0
13400,16201,16400,0.0083767,0
13600,16401,16600,0.0083463,0
13800,16601,16800,0.0083041,0
14000,16801,17000,0.0082244,0
14200,17001,17200,0.0081788,0
14400,17201,17400,0.0082105,0
14600,17401,17600,0.0082552,0
14800,17601,17800,0.0081586,0
15000,17801,18000,0.0082167,0
15200,18001,18200,0.0083838,0
15400,18201,18400,0.0082363,0
15600,18401,18600,0.0084067,0
15800,18601,18800,0.0084773,0
16000,18801,19000,0.0083609,0
16200,19001,19200,0.0082122,0
16400,19201,19400,0.0083133,0
16600,19401,19600,0.008192,0
16800,19601,19800,0.0085295,0
17000,19801,20000,0.0080905,0
17200,20001,20200,0.0082249,0
17400,20201,20400,0.0084518,0
17600,20401,20600,0.0084102,0
17800,20601,20800,0.0082502,0
18000,20801,21000,0.0084873,0
18200,21001,21200,0.0082125,0
18400,21201,21400,0.0083211,0
18600,21401,21600,0.0082823,0
18800,21601,21800,0.0085281,0
19000,21801,22000,0.0082004,0
19200,22001,22200,0.008345,0
19400,22201,22400,0.0083354,0
19600,22401,22600,0.0084357,0
19800,22601,22800,0.0083424,0
20000,22801,23000,0.0083465,0
20200,23001,23200,0.0084781,0
20400,23201,23400,0.0083319,0
20600,23401,23600,0.0083609,0
20800,23601,23800,0.0084677,0
21000,23801,24000,0.0083192,0
21200,24001,24200,0.0082149,0
