Counter,First Element,Last Element,Time Elapsed,Queue Size
100,18201,18300,0.0050899,0
200,18301,18400,0.0061376,0
300,18401,18500,0.006336,0
400,18501,18600,0.0066877,0
500,18601,18700,0.0064098,0
600,18701,18800,0.0067688,0
700,18801,18900,0.0064187,0
800,18901,19000,0.0065422,0
900,19001,19100,0.0064566,0
1000,19101,19200,0.0065849,0
1100,19201,19300,0.0065272,0
1200,19301,19400,0.0065821,0
1300,19401,19500,0.0064772,0
1400,19501,19600,0.0066381,0
1500,19601,19700,0.0065376,0
1600,19701,19800,0.0065685,0
1700,19801,19900,0.0065352,0
1800,19901,20000,0.0064537,0
1900,20001,20100,0.0066375,0
2000,20101,20200,0.0066213,0
2100,20201,20300,0.0067287,0
2200,20301,20400,0.0063447,0
2300,20401,20500,0.0064538,0
2400,20501,20600,0.0066294,0
2500,20601,20700,0.0064957,0
2600,20701,20800,0.0064928,0
2700,20801,20900,0.0064854,0
2800,20901,21000,0.0065137,0
2900,21001,21100,0.0065486,0
3000,21101,21200,0.0065428,0
3100,21201,21300,0.0063359,0
3200,21301,21400,0.0066676,0
3300,21401,21500,0.0064018,0
3400,21501,21600,0.0066068,0
3500,21601,21700,0.0063762,0
3600,21701,21800,0.0065387,0
3700,21801,21900,0.0065223,0
3800,21901,22000,0.0065209,0
3900,22001,22100,0.0065765,0
4000,22101,22200,0.0064224,0
4100,22201,22300,0.0063459,0
4200,22301,22400,0.0065955,0
4300,22401,22500,0.0063531,0
4400,22501,22600,0.0066041,0
4500,22601,22700,0.0066573,0
4600,22701,22800,0.0063625,0
4700,22801,22900,0.0066098,0
4800,22901,23000,0.0064847,0
4900,23001,23100,0.0064225,0
5000,23101,23200,0.006688,0
5100,23201,23300,0.0061758,0
5200,23301,23400,0.0066548,0
5300,23401,23500,0.0063659,0
5400,23501,23600,0.0066095,0
5500,23601,23700,0.0065459,0
5600,23701,23800,0.0064993,0
5700,23801,23900,0.0066041,0
5800,23901,24000,0.0064497,0
5900,24001,24100,0.0063277,0
6000,24101,24200,0.0066368,0
6100,24201,24300,0.0064394,0
6200,24301,24400,0.0066581,0
6300,24401,24500,0.0064489,0
6400,24501,24600,0.0064724,0
6500,24601,24700,0.0064516,0
6600,24701,24800,0.0065047,0
6700,24801,24900,0.0063096,0
6800,24901,25000,0.0067545,0
6900,25001,25100,0.0062762,0
7000,25101,25200,0.0066433,0
7100,25201,25300,0.0063675,0
7200,25301,25400,0.0064922,0
7300,25401,25500,0.006722,0
7400,25501,25600,0.0063851,0
7500,25601,25700,0.0065152,0
7600,25701,25800,0.0065561,0
7700,25801,25900,0.0063331,0
7800,25901,26000,0.006697,0
7900,26001,26100,0.0063896,0
8000,26101,26200,0.0065985,0
8100,26201,26300,0.0064101,0
8200,26301,26400,0.00654,0
8300,26401,26500,0.0064551,0
8400,26501,26600,0.0064268,0
8500,26601,26700,0.0065635,0
8600,26701,26800,0.0066033,0
8700,26801,26900,0.0063173,0
8800,26901,27000,0.0066711,0
8900,27001,27100,0.0063026,0
9000,27101,27200,0.0066062,0
9100,27201,27300,0.0065733,0
9200,27301,27400,0.0064044,0
9300,27401,27500,0.0066388,0
9400,27501,27600,0.0063512,0
9500,27601,27700,0.0064239,0
9600,27701,27800,0.0066413,0
9700,27801,27900,0.0063449,0
9800,27901,28000,0.006783,0
9900,28001,28100,0.0063431,0
10000,28101,28200,0.0064609,0
10100,28201,28300,0.0065447,0
10200,28301,28400,0.0064066,0
10300,28401,28500,0.0064451,0
10400,28501,28600,0.0065875,0
10500,28601,28700,0.0064797,0
10600,28701,28800,0.0065076,0
10700,28801,28900,0.0064108,0
10800,28901,29000,0.0065591,0
10900,29001,29100,0.0066753,0
11000,29101,29200,0.0062576,0
11100,29201,29300,0.0066457,0
11200,29301,29400,0.0063438,0
11300,29401,29500,0.0066126,0
11400,29501,29600,0.0066459,0
11500,29601,29700,0.0063342,0
11600,29701,29800,0.0065239,0
11700,29801,29900,0.0064748,0
11800,29901,30000,0.0065141,0
11900,30001,30100,0.0065326,0
12000,30101,30200,0.006471,0
12100,30201,30300,0.0066611,0
12200,30301,30400,0.0065222,0
12300,30401,30500,0.0064519,0
12400,30501,30600,0.0065177,0
12500,30601,30700,0.0062857,0
12600,30701,30800,0.006701,0
12700,30801,30900,0.006416,0
12800,30901,31000,0.0065401,0
12900,31001,31100,0.0064521,0
13000,31101,31200,0.0064485,0
13100,31201,31300,0.0064894,0
13200,31301,31400,0.0066037,0
13300,31401,31500,0.0063452,0
13400,31501,31600,0.0066815,0
13500,31601,31700,0.0063308,0
13600,31701,31800,0.0065847,0
13700,31801,31900,0.0065138,0
13800,31901,32000,0.0065,0
13900,1,100,0.0066012,0
14000,101,200,0.0065929,0
14100,201,300,0.0063845,0
14200,301,400,0.0064666,0
14300,401,500,0.0063463,0
14400,501,600,0.0065018,0
14500,601,700,0.0065339,0
14600,701,800,0.0066091,0
14700,801,900,0.0065171,0
14800,901,1000,0.0064447,0
14900,1001,1100,0.0064707,0
15000,1101,1200,0.0065826,0
15100,1201,1300,0.0064325,0
15200,1301,1400,0.0066464,0
15300,1401,1500,0.0063908,0
15400,1501,1600,0.0065854,0
15500,1601,1700,0.0064308,0
15600,1701,1800,0.0065547,0
15700,1801,1900,0.0064951,0
15800,1901,2000,0.006423,0
15900,2001,2100,0.0065517,0
16000,2101,2200,0.0066517,0
